Detector, Descriptor, Lidar TTC, Camera TTC, Error
BRISK, FREAK, 12.5156, 12.7581, 0.0193763
BRISK, FREAK, 12.6142, 24.137, 0.913473
BRISK, FREAK, 14.091, 13.8718, 0.0155598
BRISK, FREAK, 16.6894, 13.9106, 0.166501
BRISK, FREAK, 15.9082, 22.7983, 0.433113
BRISK, FREAK, 12.6787, 16.8336, 0.327704
BRISK, FREAK, 11.9844, 15.676, 0.308036
BRISK, FREAK, 13.1241, 18.9278, 0.442215
BRISK, FREAK, 13.0241, 14.9704, 0.149435
BRISK, FREAK, 11.1746, 13.9342, 0.246945
BRISK, FREAK, 12.8086, 13.0359, 0.0177493
BRISK, FREAK, 8.95978, 11.4537, 0.278345
BRISK, FREAK, 9.96439, 11.4422, 0.148311
BRISK, FREAK, 9.59863, 11.1317, 0.159714
BRISK, FREAK, 8.57352, 13.3442, 0.556438
BRISK, FREAK, 9.51617, 10.2978, 0.0821421
BRISK, FREAK, 9.54658, 9.33041, 0.0226435
BRISK, FREAK, 8.3988, 10.9372, 0.302237
ORB,BRISK
ORB, BRISK, 12.5156, 15.0326, 0.201107
ORB, BRISK, 12.6142, 13.599, 0.0780676
ORB, BRISK, 14.091, 12.9667, 0.0797885
ORB, BRISK, 16.6894, 29.9201, 0.792763
ORB, BRISK, 15.9082, 192.407, 11.0948
ORB, BRISK, 12.6787, 10.9155, 0.139071
ORB, BRISK, 11.9844, 16.388, 0.367448
ORB, BRISK, 13.1241, 11.9783, 0.0873101
ORB, BRISK, 13.0241, 12.96, 0.00492655
ORB, BRISK, 11.1746, 19.472, 0.742516
ORB, BRISK, 12.8086, 8.34928, 0.348151
ORB, BRISK, 8.95978, -inf, inf
ORB, BRISK, 9.96439, 9.77565, 0.0189414
ORB, BRISK, 9.59863, 9.66412, 0.00682332
ORB, BRISK, 8.57352, 8.67502, 0.0118385
ORB, BRISK, 9.51617, 13.2765, 0.395154
ORB, BRISK, 9.54658, 12.372, 0.295964
ORB, BRISK, 8.3988, 25.0118, 1.97802
ORB,BRIEF
ORB, BRIEF, 12.5156, 21.3418, 0.705219
ORB, BRIEF, 12.6142, 47.92, 2.79888
ORB, BRIEF, 14.091, 103.665, 6.35682
ORB, BRIEF, 16.6894, 14.0679, 0.157078
ORB, BRIEF, 15.9082, 22.8925, 0.439037
ORB, BRIEF, 12.6787, 18.3567, 0.447834
ORB, BRIEF, 11.9844, 55.1976, 3.6058
ORB, BRIEF, 13.1241, 76.7595, 4.84874
ORB, BRIEF, 13.0241, 140.565, 9.79267
ORB, BRIEF, 11.1746, 16.2625, 0.455304
ORB, BRIEF, 12.8086, 17.4453, 0.361995
ORB, BRIEF, 8.95978, 14.1185, 0.575764
ORB, BRIEF, 9.96439, 13.301, 0.334858
ORB, BRIEF, 9.59863, 9.71308, 0.0119235
ORB, BRIEF, 8.57352, 8.816, 0.0282815
ORB, BRIEF, 9.51617, 10.9804, 0.153863
ORB, BRIEF, 9.54658, 13.442, 0.408044
ORB, BRIEF, 8.3988, 19.0665, 1.27014
ORB,ORB
ORB, ORB, 12.5156, 18.0656, 0.443447
ORB, ORB, 12.6142, 10.7511, 0.147699
ORB, ORB, 14.091, 16.6755, 0.183413
ORB, ORB, 16.6894, 27.1889, 0.629112
ORB, ORB, 15.9082, 73.2489, 3.60446
ORB, ORB, 12.6787, 19.9934, 0.576923
ORB, ORB, 11.9844, 186.958, 14.6001
ORB, ORB, 13.1241, 10.196, 0.223108
ORB, ORB, 13.0241, 141.212, 9.84233
ORB, ORB, 11.1746, 15.8747, 0.420599
ORB, ORB, 12.8086, 9.15809, 0.285004
ORB, ORB, 8.95978, 30.6395, 2.41967
ORB, ORB, 9.96439, 9.74556, 0.0219608
ORB, ORB, 9.59863, 9.63066, 0.00333719
ORB, ORB, 8.57352, 12.9444, 0.509811
ORB, ORB, 9.51617, 11.6227, 0.221367
ORB, ORB, 9.54658, 16.6667, 0.745833
ORB, ORB, 8.3988, 27.1116, 2.22803
ORB,FREAK
ORB, FREAK, 12.5156, 12.2074, 0.0246216
ORB, FREAK, 12.6142, 20.1206, 0.595069
ORB, FREAK, 14.091, 11.669, 0.17188
ORB, FREAK, 16.6894, 11.4659, 0.312983
ORB, FREAK, 15.9082, -245.004, 16.4011
ORB, FREAK, 12.6787, 11.5626, 0.0880276
ORB, FREAK, 11.9844, -inf, inf
ORB, FREAK, 13.1241, 9.02151, 0.312601
ORB, FREAK, 13.0241, 13.3292, 0.0234207
ORB, FREAK, 11.1746, -545.044, 49.775
ORB, FREAK, 12.8086, 7.95795, 0.378703
